줄임말,풀네임,카카오검색어,X좌표,Y좌표
60주년기념관,60주년기념관,강원대학교 60주년기념관,127.74095339435316,37.86935218082565
인3호관,인문대학 3호관,강원대학교 인문대학 3호관,127.740722637814,37.8675310495422
인1호관,인문대학 1호관,강원대학교 인문대학 1호관,127.741302995025,37.8678337134142
사회과학2호관,사회과학2호관,강원대학교 사회과학2호관,127.739885330543,37.8660804095043
자5호관,자연과학대학 5호관,강원대학교 자연과학대학 5호관,127.741695921303,37.8721124613058
율곡관(기숙사)식당동 101,율곡관(기숙사)식당동 101,강원대학교 율곡관(기숙사)식당동 101,,
율곡관(기숙사)식당동 102,율곡관(기숙사)식당동 102,강원대학교 율곡관(기숙사)식당동 102,,
율곡관(기숙사)식당동 001,율곡관(기숙사)식당동 001,강원대학교 율곡관(기숙사)식당동 001,,
율곡관(기숙사)식당동 004,율곡관(기숙사)식당동 004,강원대학교 율곡관(기숙사)식당동 004,,
율곡관(기숙사)식당동 108,율곡관(기숙사)식당동 108,강원대학교 율곡관(기숙사)식당동 108,,
율곡관(기숙사)식당동 103,율곡관(기숙사)식당동 103,강원대학교 율곡관(기숙사)식당동 103,,
율곡관(기숙사)식당동 003,율곡관(기숙사)식당동 003,강원대학교 율곡관(기숙사)식당동 003,,
율곡관(기숙사)식당동 002,율곡관(기숙사)식당동 002,강원대학교 율곡관(기숙사)식당동 002,,
공1호관,공과대학 1호관,강원대학교 공과대학 1호관,127.739625050096,37.8682370722949
미래관,미래관,강원대학교 미래관,127.742372608562,37.870684726233
공2호관,공과대학 2호관,강원대학교 공과대학 2호관,127.739466485687,37.8687461933923
자2호관,자연과학대학 2호관,강원대학교 자연과학대학 2호관,127.743176728061,37.8724418728262
공3호관,공과대학 3호관,강원대학교 공과대학 3호관,127.73947673081508,37.869316418319045
경영2호관,경영대학 2호관,강원대학교 경영대학 2호관,127.746320847304,37.8700074905236
자4호관,자연과학대학 4호관,강원대학교 자연과학대학 4호관,127.742109169506,37.8725206813713
자1호관,자연과학대학 1호관,강원대학교 자연과학대학 1호관,127.742756178998,37.8717598197677
동물생명2호관,동물생명2호관,강원대학교 동물생명2호관,127.749966858058,37.8686725671479
동물생명1호관,동물생명1호관,강원대학교 동물생명1호관,127.74903365205,37.8685451702311
의생명B호관,의생명과학관,강원대학교 의생명과학관,127.749232263048,37.867059172843
의생명A호관,의생명과학관,강원대학교 의생명과학관,127.749232263048,37.867059172843
교육1호관,교육1호관,강원대학교 교육1호관,127.741635037651,37.8705740556161
자3호관,자연과학대학 3호관,강원대학교 자연과학대학 3호관,127.74250555434,37.8721542062877
공5호관,공과대학 5호관,강원대학교 공과대학 5호관,127.738829745823,37.8682600844096
인2호관,인문대학 2호관,강원대학교 인문대학 2호관,127.741145232242,37.8675139751834
영상바이오관,영상바이오관,강원대학교 영상바이오관,127.74650747506,37.870932463728
국제교류처,국제교류처,강원대학교 국제교류처,127.7423255796235,37.870188610023575
법학관,법학관,강원대학교 법학관,127.741393177011,37.8668529325479
사회과학1호관,사회과학1호관,강원대학교 사회과학1호관,127.740324617935,37.8663695498617
경영1호관,경영대학 1호관,강원대학교 경영대학 1호관,127.745732741577,37.8698418421721
글로벌경영관,글로벌경영관,강원대학교 글로벌경영관,127.745619322818,37.8694137175914
농2호관,농업생명대학 2호관,강원대학교 농업생명대학 2호관,127.745385312745,37.8714549058168
농1호관,농업생명대학 1호관,강원대학교 농업생명대학 1호관,127.746016679635,37.8704995244137
산1호관,산림환경대학 1호관,강원대학교 산림환경대학 1호관,127.74702480283,37.8672389709051
예술2호관,문화예술대학 2호관,강원대학교 문화예술대학 2호관,127.746978068358,37.8700393597316
의학2호관,의과대학 2호관,강원대학교 의과대학 2호관,127.751025140597,37.8690297970279
백령스포츠센터,백령스포츠센터,강원대학교 백령스포츠센터,127.750593804921,37.8668414846889
실습.훈련장,실습.훈련장,강원대학교 실습.훈련장,,
실습.훈련장 체육관(구실내체육관),실습.훈련장 체육관(구실내체육관),강원대학교 실습.훈련장 체육관(구실내체육관),,
실습.훈련장 교외볼링장(세경),실습.훈련장 교외볼링장(세경),강원대학교 실습.훈련장 교외볼링장(세경),,
서암관,서암관,강원대학교 서암관,127.739408513728,37.866584322768
예술1호관,문화예술대학 1호관,강원대학교 문화예술대학 1호관,127.747801551448,37.8698791721098
농3호관,농업생명대학 3호관,강원대학교 농업생명대학 3호관,127.746334769969,37.8713876275226
공6호관,공과대학 6호관,강원대학교 공과대학 6호관,127.7387107388609,37.86773468738606
교육3호관,교육3호관,강원대학교 교육3호관,,
교육4호관,교육4호관,강원대학교 교육4호관,127.741285670896,37.8715492608317
산2호관,산림환경대학 2호관,강원대학교 산림환경대학 2호관,127.74762775466397,37.86741352798351
수의학관,수의학관,강원대학교 수의학관,127.750772471509,37.8683214753715
혁신제약임상연구동,혁신제약임상연구동,강원대학교 혁신제약임상연구동,127.749746603748,37.8680216962706
집현관,집현관,강원대학교 집현관,127.747471623745,37.8682704034782
의생명B호관 ,의생명과학관,강원대학교 의생명과학관,127.749232263048,37.867059172843
한빛관,한빛관,강원대학교 한빛관,127.73799343577451,37.8687410211812
아산관,아산관,강원대학교 아산관,127.747567087211,37.8687202626622
학군단,학군단,강원대학교 학군단,127.740584100833,37.870040112688
공4호관,공과대학 4호관,강원대학교 공과대학 4호관,127.738750502913,37.8689741190293
집중교육 ,집중교육 ,강원대학교 집중교육 ,,
집중교육,집중교육,강원대학교 집중교육,,
동물병원,동물병원,강원대학교 동물병원,127.751203609966,37.8682502545868
약학관,약학관,강원대학교 약학관,127.748378086364,37.8680015733436
의학1호관,의과대학 1호관,강원대학교 의과대학 1호관,127.751745588255,37.8692450260901
실습.훈련장 병원,실습.훈련장 병원,강원대학교 실습.훈련장 병원,,
GEM홀,GEM홀,강원대학교 GEM홀,,
태백관,태백관,강원대학교 태백관,127.745696502259,37.8685014869958
정보통신연구소,정보통신연구소,강원대학교 정보통신연구소,127.747571560036,37.868713026817
평생교육원,평생교육원,강원대학교 평생교육원,127.74963134046152,37.866067410585096
